log c,log j,E_RHE,pH,species,E_SHE,phi0,phi_rp,c
    -2.300,    -3.293,    -0.350,11,Li,    -0.999,    -1.299,    -0.470,     0.005
    -2.300,    -3.434,    -0.300,11,Li,    -0.949,    -1.249,    -0.456,     0.005
    -2.300,    -3.616,    -0.250,11,Li,    -0.899,    -1.199,    -0.442,     0.005
    -2.300,    -3.847,    -0.200,11,Li,    -0.849,    -1.149,    -0.428,     0.005
    -2.300,    -2.153,    -0.350,13,Li,    -1.117,    -1.417,    -0.503,     0.005
    -2.300,    -2.285,    -0.300,13,Li,    -1.067,    -1.367,    -0.489,     0.005
    -2.300,    -2.442,    -0.250,13,Li,    -1.017,    -1.317,    -0.475,     0.005
    -2.300,    -2.640,    -0.200,13,Li,    -0.967,    -1.267,    -0.461,     0.005
    -1.600,    -2.938,    -0.350,11,Li,    -0.999,    -1.299,    -0.440,     0.025
    -1.600,    -3.079,    -0.300,11,Li,    -0.949,    -1.249,    -0.426,     0.025
    -1.600,    -3.252,    -0.250,11,Li,    -0.899,    -1.199,    -0.412,     0.025
    -1.600,    -3.483,    -0.200,11,Li,    -0.849,    -1.149,    -0.398,     0.025
    -1.600,    -1.913,    -0.350,13,Li,    -1.117,    -1.417,    -0.473,     0.025
    -1.600,    -2.112,    -0.300,13,Li,    -1.067,    -1.367,    -0.459,     0.025
    -1.600,    -2.310,    -0.250,13,Li,    -1.017,    -1.317,    -0.445,     0.025
    -1.600,    -2.517,    -0.200,13,Li,    -0.967,    -1.267,    -0.431,     0.025
    -1.300,    -2.731,    -0.350,11,Li,    -0.999,    -1.299,    -0.427,     0.050
    -1.300,    -2.880,    -0.300,11,Li,    -0.949,    -1.249,    -0.413,     0.050
    -1.300,    -3.087,    -0.250,11,Li,    -0.899,    -1.199,    -0.399,     0.050
    -1.300,    -3.376,    -0.200,11,Li,    -0.849,    -1.149,    -0.385,     0.050
    -1.300,    -1.773,    -0.350,13,Li,    -1.117,    -1.417,    -0.460,     0.050
    -1.300,    -2.012,    -0.300,13,Li,    -1.067,    -1.367,    -0.446,     0.050
    -1.300,    -2.194,    -0.250,13,Li,    -1.017,    -1.317,    -0.432,     0.050
    -1.300,    -2.442,    -0.200,13,Li,    -0.967,    -1.267,    -0.418,     0.050
    -1.000,    -2.475,    -0.350,11,Li,    -0.999,    -1.299,    -0.414,     0.100
    -1.000,    -2.649,    -0.300,11,Li,    -0.949,    -1.249,    -0.400,     0.100
    -1.000,    -2.872,    -0.250,11,Li,    -0.899,    -1.199,    -0.387,     0.100
    -1.000,    -3.161,    -0.200,11,Li,    -0.849,    -1.149,    -0.373,     0.100
    -1.000,    -1.550,    -0.350,13,Li,    -1.117,    -1.417,    -0.448,     0.100
    -1.000,    -1.888,    -0.300,13,Li,    -1.067,    -1.367,    -0.434,     0.100
    -1.000,    -2.120,    -0.250,13,Li,    -1.017,    -1.317,    -0.419,     0.100
    -1.000,    -2.384,    -0.200,13,Li,    -0.967,    -1.267,    -0.405,     0.100
    -2.300,    -2.848,    -0.350,9,K,    -0.881,    -1.181,    -0.375,     0.005
    -2.300,    -2.987,    -0.300,9,K,    -0.831,    -1.131,    -0.364,     0.005
    -2.300,    -3.177,    -0.250,9,K,    -0.781,    -1.081,    -0.354,     0.005
    -2.300,    -3.418,    -0.200,9,K,    -0.731,    -1.031,    -0.343,     0.005
    -2.300,    -4.144,    -0.350,10,K,    -0.940,    -1.240,    -0.388,     0.005
    -2.300,    -4.181,    -0.300,10,K,    -0.890,    -1.190,    -0.377,     0.005
    -2.300,    -4.245,    -0.250,10,K,    -0.840,    -1.140,    -0.366,     0.005
    -2.300,    -4.357,    -0.200,10,K,    -0.790,    -1.090,    -0.356,     0.005
    -2.300,    -2.489,    -0.450,11,K,    -1.099,    -1.399,    -0.423,     0.005
    -2.300,    -2.809,    -0.400,11,K,    -1.049,    -1.349,    -0.412,     0.005
    -2.300,    -3.069,    -0.350,11,K,    -0.999,    -1.299,    -0.401,     0.005
    -2.300,    -3.389,    -0.300,11,K,    -0.949,    -1.249,    -0.390,     0.005
    -2.300,    -1.621,    -0.450,12,K,    -1.158,    -1.458,    -0.436,     0.005
    -2.300,    -1.832,    -0.400,12,K,    -1.108,    -1.408,    -0.425,     0.005
    -2.300,    -1.981,    -0.350,12,K,    -1.058,    -1.358,    -0.414,     0.005
    -2.300,    -2.106,    -0.300,12,K,    -1.008,    -1.308,    -0.403,     0.005
    -1.600,    -2.633,    -0.350,9,K,    -0.881,    -1.181,    -0.343,     0.025
    -1.600,    -2.861,    -0.300,9,K,    -0.831,    -1.131,    -0.332,     0.025
    -1.600,    -3.076,    -0.250,9,K,    -0.781,    -1.081,    -0.321,     0.025
    -1.600,    -3.380,    -0.200,9,K,    -0.731,    -1.031,    -0.310,     0.025
    -1.600,    -3.872,    -0.350,10,K,    -0.940,    -1.240,    -0.355,     0.025
    -1.600,    -3.893,    -0.300,10,K,    -0.890,    -1.190,    -0.345,     0.025
    -1.600,    -3.904,    -0.250,10,K,    -0.840,    -1.140,    -0.334,     0.025
    -1.600,    -3.979,    -0.200,10,K,    -0.790,    -1.090,    -0.323,     0.025
    -1.600,    -2.992,    -0.450,11,K,    -1.099,    -1.399,    -0.390,     0.025
    -1.600,    -3.237,    -0.400,11,K,    -1.049,    -1.349,    -0.379,     0.025
    -1.600,    -3.664,    -0.350,11,K,    -0.999,    -1.299,    -0.368,     0.025
    -1.600,    -4.046,    -0.300,11,K,    -0.949,    -1.249,    -0.357,     0.025
    -1.600,    -2.168,    -0.450,12,K,    -1.158,    -1.458,    -0.403,     0.025
    -1.600,    -2.354,    -0.400,12,K,    -1.108,    -1.408,    -0.392,     0.025
    -1.600,    -2.565,    -0.350,12,K,    -1.058,    -1.358,    -0.381,     0.025
    -1.600,    -2.826,    -0.300,12,K,    -1.008,    -1.308,    -0.370,     0.025
    -1.300,    -2.570,    -0.350,9,K,    -0.881,    -1.181,    -0.329,     0.050
    -1.300,    -2.785,    -0.300,9,K,    -0.831,    -1.131,    -0.318,     0.050
    -1.300,    -3.051,    -0.250,9,K,    -0.781,    -1.081,    -0.307,     0.050
    -1.300,    -3.354,    -0.200,9,K,    -0.731,    -1.031,    -0.296,     0.050
    -1.300,    -3.856,    -0.350,10,K,    -0.940,    -1.240,    -0.342,     0.050
    -1.300,    -3.877,    -0.300,10,K,    -0.890,    -1.190,    -0.331,     0.050
    -1.300,    -3.909,    -0.250,10,K,    -0.840,    -1.140,    -0.320,     0.050
    -1.300,    -3.979,    -0.200,10,K,    -0.790,    -1.090,    -0.309,     0.050
    -1.300,    -3.252,    -0.450,11,K,    -1.099,    -1.399,    -0.376,     0.050
    -1.300,    -3.588,    -0.400,11,K,    -1.049,    -1.349,    -0.365,     0.050
    -1.300,    -4.122,    -0.350,11,K,    -0.999,    -1.299,    -0.354,     0.050
    -1.300,    -4.550,    -0.300,11,K,    -0.949,    -1.249,    -0.344,     0.050
    -1.300,    -2.615,    -0.450,12,K,    -1.158,    -1.458,    -0.390,     0.050
    -1.300,    -2.752,    -0.400,12,K,    -1.108,    -1.408,    -0.378,     0.050
    -1.300,    -2.913,    -0.350,12,K,    -1.058,    -1.358,    -0.367,     0.050
    -1.300,    -3.075,    -0.300,12,K,    -1.008,    -1.308,    -0.356,     0.050
    -1.000,    -3.177,    -0.350,9,K,    -0.881,    -1.181,    -0.315,     0.100
    -1.000,    -3.544,    -0.300,9,K,    -0.831,    -1.131,    -0.304,     0.100
    -1.000,    -3.696,    -0.250,9,K,    -0.781,    -1.081,    -0.293,     0.100
    -1.000,    -3.810,    -0.200,9,K,    -0.731,    -1.031,    -0.282,     0.100
    -1.000,    -4.011,    -0.350,10,K,    -0.940,    -1.240,    -0.328,     0.100
    -1.000,    -4.037,    -0.300,10,K,    -0.890,    -1.190,    -0.317,     0.100
    -1.000,    -4.080,    -0.250,10,K,    -0.840,    -1.140,    -0.306,     0.100
    -1.000,    -4.187,    -0.200,10,K,    -0.790,    -1.090,    -0.295,     0.100
    -1.000,    -3.573,    -0.450,11,K,    -1.099,    -1.399,    -0.363,     0.100
    -1.000,    -3.893,    -0.400,11,K,    -1.049,    -1.349,    -0.352,     0.100
    -1.000,    -4.397,    -0.350,11,K,    -0.999,    -1.299,    -0.341,     0.100
    -1.000,    -4.794,    -0.300,11,K,    -0.949,    -1.249,    -0.330,     0.100
    -1.000,    -3.112,    -0.450,12,K,    -1.158,    -1.458,    -0.376,     0.100
    -1.000,    -3.224,    -0.400,12,K,    -1.108,    -1.408,    -0.365,     0.100
    -1.000,    -3.385,    -0.350,12,K,    -1.058,    -1.358,    -0.354,     0.100
    -1.000,    -3.559,    -0.300,12,K,    -1.008,    -1.308,    -0.343,     0.100
